Time Point,Measured Heat Demand[W]
2024-03-01T00:00:00.000000+0100,5888522.295864388
2024-03-01T01:00:00.000000+0100,5916364.646679886
2024-03-01T02:00:00.000000+0100,5981229.7616626825
2024-03-01T03:00:00.000000+0100,6101700.060911889
2024-03-01T04:00:00.000000+0100,6714677.5949375555
2024-03-01T05:00:00.000000+0100,7313826.0683221845
2024-03-01T06:00:00.000000+0100,8075983.881234162
2024-03-01T07:00:00.000000+0100,9202904.272048077
2024-03-01T08:00:00.000000+0100,8688519.181932136
2024-03-01T09:00:00.000000+0100,8017962.372280991
2024-03-01T10:00:00.000000+0100,8206022.221927073
2024-03-01T11:00:00.000000+0100,8449869.680535393
2024-03-01T12:00:00.000000+0100,7896570.691932265
2024-03-01T13:00:00.000000+0100,7413917.45370679
2024-03-01T14:00:00.000000+0100,7086845.945102124
2024-03-01T15:00:00.000000+0100,6168624.608950059
2024-03-01T16:00:00.000000+0100,6016411.606922235
2024-03-01T17:00:00.000000+0100,6820298.909208424
2024-03-01T18:00:00.000000+0100,7773027.4581488315
2024-03-01T19:00:00.000000+0100,8456865.242846962
2024-03-01T20:00:00.000000+0100,7978872.004057717
2024-03-01T21:00:00.000000+0100,7624519.005092088
2024-03-01T22:00:00.000000+0100,6445865.516195584
2024-03-01T23:00:00.000000+0100,5774150.991355357
2024-03-02T00:00:00.000000+0100,5423459.097361875
2024-03-02T01:00:00.000000+0100,4967782.398801111
2024-03-02T02:00:00.000000+0100,5075279.890120685
2024-03-02T03:00:00.000000+0100,5361624.999666725
2024-03-02T04:00:00.000000+0100,6139487.483333153
2024-03-02T05:00:00.000000+0100,7835151.765820205
2024-03-02T06:00:00.000000+0100,7731851.599568434
2024-03-02T07:00:00.000000+0100,7996263.14861214
2024-03-02T08:00:00.000000+0100,7772959.10208456
2024-03-02T09:00:00.000000+0100,7951841.411547963
2024-03-02T10:00:00.000000+0100,7450307.160710925
2024-03-02T11:00:00.000000+0100,5957324.20039102
2024-03-02T12:00:00.000000+0100,5469452.16069421
2024-03-02T13:00:00.000000+0100,4939379.020118013
2024-03-02T14:00:00.000000+0100,5065978.732368396
